選挙区,投票区,投票所名称,投票所所在地,投票区区域,緯度,経度
10,1,りっこう幼稚園,練馬区小竹町2-43-12,小竹町1･2丁目,35.74232002,139.6758194
10,2,栄町会館,練馬区栄町46-20,"栄町,羽沢1丁目",35.74057102,139.6692809
10,3,開進第三小学校,練馬区桜台2-18-1,桜台1･2丁目,35.74287909,139.6672778
10,4,開進第二小学校,練馬区桜台5-10-5,桜台4･5･6丁目,35.74147551,139.6588185
10,5,旭丘小学校,練馬区旭丘2-21-1,旭丘1･2丁目,35.73639074,139.6764206
10,6,豊玉東小学校,練馬区豊玉北1-16-1,"豊玉上1丁目,豊玉北1･2丁目",35.73244808,139.6681271
9,7,豊玉第二小学校,練馬区豊玉上2-16-1,"豊玉上2丁目,豊玉北3･4丁目",35.7373381,139.6614649
9,8,豊玉中学校,練馬区豊玉南2-1-20,"豊玉中1･2丁目,豊玉南1･2･3丁目",35.72862768,139.6582018
9,9,豊玉小学校,練馬区豊玉中4-2-20,"豊玉北5･6丁目,豊玉中3･4丁目",35.7325139,139.6512197
9,10,南町小学校,練馬区練馬2-7-5,"練馬1丁目,練馬2丁目(1～12番),練馬3丁目",35.7405294,139.6525644
9,11,開進第二中学校,練馬区練馬2-27-28,"練馬2丁目(13～34番),練馬4丁目",35.7428443,139.6523985
9,12,中村小学校,練馬区中村2-8-1,"中村1･2丁目,中村北1･2丁目",35.73123643,139.6443975
9,13,中村西小学校,練馬区中村北4-17-1,"中村3丁目,中村北3･4丁目",35.73422213,139.6352236
9,14,中村中学校,練馬区中村南1-32-21,中村南1･2･3丁目,35.72808457,139.644762
9,15,向山小学校,練馬区向山2-14-11,向山1･2･3･4丁目,35.7403944,139.6410649
9,16,練馬第二小学校,練馬区貫井2-31-13,"貫井1･2丁目,貫井4丁目(1～20,40,41番),貫井5丁目",35.74160752,139.6338041
9,17,第四商業高等学校,練馬区貫井3-45-19,"貫井3丁目,貫井4丁目(21～27,29<1～3,5～7,23～号>,30<1～8,11～号>,31～39,42,43,47<1～17,49,53～号>番),富士見台3丁目(1～19,20<1～5,11～号>,21～37,47<1～4,8～号>,48～54,55<1～5,18～号>番)",35.73944631,139.6263243
9,18,富士見台小学校,練馬区富士見台4-16-10,"貫井4丁目(28,29<4,8～22号>,30<9,10号>,44～46,47<18～48,50～52号>番),富士見台3丁目(20<6～10号>,38～46,47<5～7号>,55<6～17号>,56～63番),富士見台4丁目,高野台2丁目",35.74515834,139.6230608
10,19,仲町小学校,練馬区氷川台2-18-24,"錦1丁目(1～29番)氷川台1･2丁目,平和台1･2丁目",35.75739222,139.667645
10,20,開進第一中学校,練馬区早宮1-16-50,"氷川台3丁目(37～41番),氷川台4丁目,早宮1丁目",35.75212238,139.6598746
10,21,開進第一小学校,練馬区早宮2-1-31,"平和台3･4丁目,早宮2丁目",35.75419951,139.6572312
10,22,北町小学校,練馬区北町1-14-11,"錦1丁目(30～40番),錦2丁目,北町1丁目",35.76527739,139.664016
10,23,北町中学校,練馬区北町3-1-34,北町2･3･4丁目,35.76681744,139.6561207
9,24,練馬東小学校,練馬区春日町1-30-11,春日町1･2丁目,35.75220381,139.6479929
10,25,早宮小学校,練馬区早宮4-10-17,早宮3･4丁目,35.75238892,139.6516407
9,26,春日町青少年館,練馬区春日町4-16-9,春日町3･4丁目,35.7525461,139.6393297
9,27,高松小学校,練馬区高松3-16-1,"高松1･2･3･4丁目,谷原1丁目",35.74918034,139.6265647
10,28,北町西小学校,練馬区北町7-3-8,"北町5･6･7丁目,北町8丁目(1～26番)",35.76118364,139.6534252
9,29,田柄中学校,練馬区田柄3-3-1,"田柄3丁目(1～13番),田柄5丁目(1～20番)",35.75943445,139.6420217
10,30,田柄小学校,練馬区田柄2-19-19,"北町8丁目(27～37番),田柄2丁目,田柄4丁目(1～30番)",35.76589948,139.643529
9,31,旭町小学校,練馬区旭町2-29-1,旭町2･3丁目,35.77321582,139.6274902
9,32,豊渓小学校,練馬区土支田2-26-28,"土支田1･2･3丁目,高松6丁目",35.76325224,139.6148758
9,33,八坂中学校,練馬区土支田4-47-21,"土支田4丁目,大泉町1丁目(1～32,44～51番)",35.76904922,139.6121084
